id,name,city,address_1,address_2,lat,lon
1374221,"This is an online promotion","This is an online promotion","This is an online promotion",,0,0
137477,"The Livery","London","130 Wood Street, in the City of London","EC2V 6DL",51.52,-0.1
1377229,"Novotel London West","London","Hammersmith",,51.492916,-0.225792
13777182,"ThoughtWorks UK Office","London","9th floor Berkshire House 168-173 High Holborn London WC1V 7AA",,51.515732,-0.125307
13812682,"7digital Offices","London","69 Wilson Street, 3rd Floor, London EC2A 2BB",,51.521965,-0.084819
13930812,"Which?","London","2 Marylebone Road, NW1 4DF ",,51.524506,-0.144451
1393647,"The Cittie of Yorke","London","22 High Holborn, WC1V 6BS",,51.518356,-0.112739
13954812,"UCL - Christopher Ingold XLG1 LT","WC1H 0AJ","Christopher Ingold Building, 20 Gordon Street, London",,51.524376,-0.131734
13955372,"Level39, One Canada Square,","London","Canary Warf, London",,51.504955,-0.01945
1404354,"Radisson Edwardian Kenilworth Hotel","London","97 Great Russell Street","WC1B 3LB",51.517809,-0.127718
14060422,"The Bakery","London"," 25 City Road, London, EC1Y 1AA ",,51.523106,-0.08729
14070242,"The Defectors Weld","London","170 Uxbridge Rd, London W12 8AA ",,51.505211,-0.224504
1411950,"The Alice House","London","283-285 West End Lane West Hampstead,",,51.550944,-0.191535
14187292,"Veda Consulting","London","Arch 462, Kingsland Viaduct 83 Rivington Street London, EC2 3AY",,51.511215,-0.119824
14190522,"UCL - Rooms 112, 113, 114 & 130, Foster Court","London","Malet Place, off Torrington Place, WC1E 7JE",,51.522484,-0.132641
1423018,"Electricity Showrooms","London","39a Hoxton Square","N1 6NN ",51.52735,-0.08196
14244832,"Erlang Solutions and the Erlang User Group","London","New Loom House, 101 Back Church Lane, E1 1LU",,51.51276,-0.067536
1429460,"JRebel Prize Draw","There will be no physical meetup","This is an online promotion",,0,0
14313862," Chadwick G08, Chadwick Building, UCL","London","Gower Street, London, WC1E 6BT",,51.525143,-0.135253
1432252,"IBM Southbank (SE1 9PZ)","London","76/78 Upper Ground","Southbank",51.506952,-0.111438
1438218,"Penderel's Oak","London","283-288 High Holborn, WC1V 7HP",,51.518143,-0.115084
14383902,"Mozilla London HQ","London","101 St Martin's Ln Floor 3. London WC2N 4AZ",,51.510372,-0.127545
144119,"the Hope","London","15, Tottenham Street","Fitzrovia, W1T 2AJ",51.52,-0.1
14462052,"Gamesys Limited","London","10 Piccadilly, W1J 0DD",,51.509621,-0.135639
14498652,"Square One","London, EC2M 4YE","3rd Floor, 6 Devonshire Square",,51.516392,-0.077818
14500752,"Candid Arts Trust","London","3 Torrens Street",,51.532124,-0.105432
14526582,"The Melton Mowbray","London","18, Holborn, London, EC1N 2LE",,51.517822,-0.110042
1453826,"The Brewery","London","Chiswell Street","EC1Y 4SD",51.520996,-0.092077
1459239,"Limehouse Town Hall","London","646 Commercial Rd, E14 7HA",,51.515003,-0.070197
1461646,"The Porterhouse Covent Garden ","London","21-22 Maiden Lane","Covent Garden ",51.510426,-0.123819
1463178,"Playfish Offices","London","60 Sloane Avenue",,51.492077,-0.165232
14724712,"etc.venues - Shoreditch - Bonhill House","London","3 Bonhill St  EC2A",,51.522686,-0.085283
14787042,"Wimbledon library","London","Wimbledon Hill Rd, London, Greater London SW19 7NB",,51.42337,-0.210618
14834822,"Net-A-Porter. 1 The Village Offices, Westfield London Shopping Centre","London","Ariel Way W12 London",,51.507526,-0.219097
14963152,"MongoDB London 5 - 25 Scrutton Street, Unit 1E","EC2A 4HJ","London",,51.523617,-0.083438
15070602,"Salesforce London office.  Floor 25, Heron Tower","London","110 Bishopsgate, London EC2N 4AY",,51.516335,-0.08111
15101742,"QE2 Conference Centre","London","Westminster",,51.498608,-0.133906
15118212,"Ticketmaster","London, N1 9HF","4 Pentonville Road",,51.531849,-0.108151
1511864,"The Red Gallery","London","3 Rivington Street, Shoreditch",,51.526131,-0.080584
15200122,"Home of the Royal College of General Practitioners","London","30 Euston Square",,51.527443,-0.130868
15225682,"VisualDNA HQ","London","67-71 Shoreditch High Street, E1 6JJ",,51.524128,-0.076224
1531258,"Congress Centre","London","28 Great Russell Street",,51.517807,-0.127561
1531697,"Westbourne Studios  242 Acklam Road, W10 5JJ","London W10 5JJ","242 Acklam Road, W10 5JJ",,51.520908,-0.204448
15391322,"The Crypt on the Green ","London","St James Clerkenwell",,51.522526,-0.11164
1551946,"Christopher Ingold Chemistry Lecture Theatre","London","University College London (UCL), 20 Gordon Street, London, WC1H 0AJ",,51.525418,-0.132189
15523502,"Salesforce London Office - Floor 26, Heron Tower","London","110 Bishopsgate, London EC2N 4AY",,51.516335,-0.08111
15553742,"1st Floor, Trans-World House","EC1Y 2BP","100 City Road (Silicon Roundabout)",,51.527531,-0.087738
1556337,"London Palace Superbowl","London","First Floor, Elephant & Castle Shopping Centre, SE1 6TE",,51.494598,-0.10047
1557899,"Viet Hoa","London, E2 8DP","70-72 Kingsland Road",,51.529919,-0.077417
15599482,"Amici miei","London","28-30 Kingsland Road, London E2 8DA ",,51.52776,-0.077728
15696122,"UCL - Christopher Ingold XLG2 LT Christopher Ingold Building,","London","20 Gordon Street, London, WC1H 0AJ",,51.525272,-0.13258
15789132,"Kings College London Strand Campus","London","Strand, London WC2R 2LS",,51.511253,-0.119225
15824142,"Room 431, University College London","London","16 Taviton Street, London, WC1H 0BW",,51.525372,-0.131554
1583911,"Jerwood Hall, LSO St Luke's","London","161 Old Street",,51.526546,-0.084219
15937872,"Mozilla Space London","London","101 St. Martins Lane (3rd Floor) ",,51.510262,-0.12705
15940992,"The (popup) Shoreditch Village Hall","London"," 33 Hoxton Square,  N1 6NN",,51.527607,-0.080866
1601792,"Look Mum No Hands!","London","49 Old St,,  EC1V 9HX",,51.526546,-0.084219
16019632,"British Library","London, NW1 2DB","96 Euston Road","NW1 2DB",51.528832,-0.127119
1603299,"The Business Design Centre, 52 Upper Street","London"," N1 0QH",,51.535587,-0.106323
16085912,"Seren Offices","London","55 - 57 Rivington Street , London EC2A 3QA",,51.525749,-0.081116
16129382,"Westminster University","London, W1W 6UW","115 New Cavendish Street",,51.520706,-0.139976
16175482,"The Crypt, St James Church Clerkenwell","London","Clerkenwell Close, Clerkenwell, EC1R 0EA",,51.524326,-0.106458
16204752,"Beurs van Berlage","Amsterdam","Damrak 243",,52.375187,4.895984
16220702,"Harrie Massey Lecture Theatre, University College London,","London","25 Gordon Street, London, WC1H 0AY",,51.52573,-0.133219
16224832,"Mozilla London","London","101 St. Martins Lane (3rd Floor)","WC2N 4AZ",51.510342,-0.127076
16225002,"Mozilla","London","Mozilla, Floor 3, 101 St Martin's Ln, London, United Kingdom","WC2N 4AZ",51.511215,-0.119824
16227252," Room S-1.06, Basement 1, Strand Building, WC2R 2LS, London","London","Strand Campus  King's College London, Strand, London",,51.511528,-0.116852
1632928,"Scott Room, The Guardian (Kings Place)","London","90 York Way, N1 9AG",,51.53373,-0.12234
16393922,"Ravensbourne","London","6 Penrose Way Greenwich Peninsula London SE10 0EW",,51.501736,0.005539
16426022,"The Polo Bar","London","176 Bishopsgate",,51.517605,-0.080189
16600522,"Intuit Limited ","London","1 Cathedral Piazza VIctoria London SW1E 5BP ",,51.511215,-0.119824
16602622,"Compucorp Ltd","London","4th Floor 27 - 33 Bethnal Green Road",,51.524212,-0.074217
16637492,"Red Badger","London","12 Mallow Street London EC1Y 8RQ, London",,51.524769,-0.088613
16637492,"Red Badger","London","12 Mallow Street London EC1Y 8RQ, London",,51.52477,-0.088613
16806882,"Mozilla London","London","101 St. Martins Lane WC2N 4AZ",,51.510372,-0.127545
16882762,"Yammer UK HQ","EC2A 3JL","80 Great Eastern St.",,51.525806,-0.082877
16882762,"Yammer UK HQ","EC2A 3JL","80 Great Eastern St.",,51.52587,-0.08299
16882762,"Yammer UK HQ","EC2A 3JL","80 Great Eastern St.",,51.525871,-0.08299
16889412,"The Gypsy Moth","London","Greenwich SE10 9LW",,51.482773,-0.009034
16970532,"The Shooting Star","London","125-129 Middlesex St, City of London, Greater London E1 7JF",,51.518044,-0.078769
17012682,"Cafe Restaurant Bekeerde Suster","Amsterdam","Kloveniersburgwal 6",,52.372055,4.899301
17028282,"Dragon Hall","London","17 Stukeley St WC2B 5LT",,51.516891,-0.122593
17091862,"La Penderie Bar","Paris ","17 rue Etienne Marcel",,48.863655,2.349491
17145432,"Pivotal Labs","London","Bentima House, 168-172 Old Street",,51.525024,-0.090486
17173602,"The Bakery","London","2nd Floor, Epworth House, 25 City Road, London, EC1Y 1AA",,51.523125,-0.08702
17199842,"Sapient London","London","Eden House  8 Spital Square  London E1 6DU",,51.520859,-0.077703
17256392,"Interact Lab","Leicester","Interact Lab, Phoenix, 4 Midland Street,Leicester, LE1 1TG",,0,0
17300632,"uSwitch","London","Notcutt House, 36 Southwark Bridge Road","SE1 9EU",51.50612,-0.095859
17417202,"Trend Micro","London","2 Kingdom Street, London, W2 6BD",,0,0
17464152,"JUST EAT","London","Fleet Place House, 2 Fleet Place, EC4M 7RF ",,51.516418,-0.103211
1752361,"Innovation Warehouse","London","1st Floor, 1 East Poultry Avenue","EC1A 9PT",51.519106,-0.101962
17610622,"Shoreditch Works Village Hall","London","33 Hoxton Square, N1 6PB, London",,51.527145,-0.081472
1764941,"Innovation Warehouse","EC1A 9PT","1 East Poultry, 1st Floor",,51.513508,-0.090439
17775212,"Somerset House, West Wing ","London","Strand, WC2R 1LA",,51.510742,-0.11695
17853912,"George Inn","London","George Inn Yard, 77 Borough High Street, Southwark, SE1 1NH",,51.504253,-0.090503
17891112,"Bloomberg European HQ","EC2A 1PQ","39-45 Finsbury Square, City Gate House",,51.520084,-0.086223
17905002,"Central Foundation Boys’ School","London","Cowper Street EC2A 4SH",,51.525265,-0.085861
17931682,"Sports Bar & Grill Waterloo","London","Unit 1 The Balcony, Waterloo Railway Station",,51.503479,-0.11191
17948492,"Skimlinks","London, N1 6BL","52 Bevenden Street",,51.52951,-0.085943
17973542,"Shoreditch Village Hall","London","33 Hoxton Square N1 6NN",,51.527618,-0.080601
17975672,"116-120 Goswell Rd, ","London","London EC1V 7DP",,51.524597,-0.099007
18040192,"Google London, St Giles High Street","WC2H 8AG","1-13 St Giles High Street, London",,51.516113,-0.127293
18111992,"Lassco, Ropewalk","London","41 Maltby Street, Bermondsey, London SE1 3PA ",,51.499641,-0.076129
18114952,"Rainmaking Loft - St. Katherines Docks","London","International House, 1 St. Katharines Way, London, E1W 1UN",,51.507324,-0.07373
18230022,"Neo Technology","London","5 - 11 Lavington Street, London, SE10NZ",,51.505302,-0.100214
18294822,"The George IV","London","185 High Road Chiswick, W4 2DR",,51.492233,-0.257113
18434542,"Virtual Event","London","Live Broadcast, London",,51.508499,-0.12574
18483622,"Google Campus","London","4-5 Bonhill St, London EC2A 4BX",,51.522579,-0.085512
